id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
759,Papurika,Animation,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",81.0,Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya,71379,"Animation Satoshi Kon When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it. Megumi Hayashibara Tôru Emori Katsunosuke Hori Tôru Furuya"
760,Changeling,Biography,7.7,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,63.0,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith,239203,Biography Clint Eastwood Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child. Angelina Jolie Colm Feore Amy Ryan Gattlin Griffith
761,Flipped,Comedy,7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,45.0,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446,Comedy Rob Reiner Two eighth-graders start to have feelings for each other despite being total opposites. Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards
762,Toki o kakeru shôjo,Animation,7.7,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",79.0,Mamoru Hosoda,Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi,60368,"Animation Mamoru Hosoda A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own. Riisa Naka Takuya Ishida Mitsutaka Itakura Ayami Kakiuchi"
763,Death Note: Desu nôto,Crime,7.7,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",79.0,Shûsuke Kaneko,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Yû Kashii,28630,"Crime Shûsuke Kaneko A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals. Tatsuya Fujiwara Ken'ichi Matsuyama Asaka Seto Yû Kashii"
764,This Is England,Crime,7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",86.0,Shane Meadows,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim,115576,"Crime Shane Meadows A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit. Thomas Turgoose Stephen Graham Jo Hartley Andrew Shim"
765,Ex Machina,Drama,7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,78.0,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141,Drama Alex Garland A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I. Alicia Vikander Domhnall Gleeson Oscar Isaac Sonoya Mizuno
766,Efter brylluppet,Drama,7.7,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",78.0,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani,32001,"Drama Susanne Bier A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret. Mads Mikkelsen Sidse Babett Knudsen Rolf Lassgård Neeral Mulchandani"
767,The Last King of Scotland,Biography,7.7,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,74.0,Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,175355,Biography Kevin Macdonald Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s. James McAvoy Forest Whitaker Gillian Anderson Kerry Washington
768,Zodiac,Crime,7.7,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",78.0,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,466080,"Crime David Fincher In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree. Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards"
769,Lucky Number Slevin,Action,7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",53.0,Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,299524,"Action Paul McGuigan A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him. Josh Hartnett Ben Kingsley Morgan Freeman Lucy Liu"
770,Joyeux Noël,Drama,7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",70.0,Christian Carion,Diane Kruger,Benno Fürmann,Guillaume Canet,Natalie Dessay,28003,"Drama Christian Carion In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life. Diane Kruger Benno Fürmann Guillaume Canet Natalie Dessay"
771,Control,Biography,7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",78.0,Anton Corbijn,Sam Riley,Samantha Morton,Craig Parkinson,Alexandra Maria Lara,61609,"Biography Anton Corbijn A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23. Sam Riley Samantha Morton Craig Parkinson Alexandra Maria Lara"
772,Tangled,Animation,7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",71.0,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,405922,"Animation Nathan Greno The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is. Byron Howard Mandy Moore Zachary Levi Donna Murphy"
773,Zwartboek,Drama,7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",71.0,Paul Verhoeven,Carice van Houten,Sebastian Koch,Thom Hoffman,Halina Reijn,72643,"Drama Paul Verhoeven In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance. Carice van Houten Sebastian Koch Thom Hoffman Halina Reijn"
774,Brokeback Mountain,Drama,7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",87.0,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid,323103,"Drama Ang Lee The story of a forbidden and secretive relationship between two cowboys, and their lives over the years. Jake Gyllenhaal Heath Ledger Michelle Williams Randy Quaid"
775,3:10 to Yuma,Action,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,76.0,James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,288797,Action James Mangold A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher. Russell Crowe Christian Bale Ben Foster Logan Lerman
776,Crash,Crime,7.7,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",66.0,Paul Haggis,Don Cheadle,Sandra Bullock,Thandie Newton,Karina Arroyave,419483,"Crime Paul Haggis Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption. Don Cheadle Sandra Bullock Thandie Newton Karina Arroyave"
777,Kung fu,Action,7.7,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",78.0,Stephen Chow,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,127250,"Action Stephen Chow In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf. Stephen Chow Wah Yuen Qiu Yuen Siu-Lung Leung"
778,The Bourne Supremacy,Action,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",73.0,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,434841,"Action Paul Greengrass When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive. Matt Damon Franka Potente Joan Allen Brian Cox"
779,The Machinist,Drama,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,61.0,Brad Anderson,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian,358432,Drama Brad Anderson An industrial worker who hasn't slept in a year begins to doubt his own sanity. Christian Bale Jennifer Jason Leigh Aitana Sánchez-Gijón John Sharian
780,Ray,Biography,7.7,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",73.0,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,138356,"Biography Taylor Hackford The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s. Jamie Foxx Regina King Kerry Washington Clifton Powell"
781,Lost in Translation,Comedy,7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,89.0,Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,415074,Comedy Sofia Coppola A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo. Bill Murray Scarlett Johansson Giovanni Ribisi Anna Faris
782,Harry Potter and the Goblet of Fire,Adventure,7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81.0,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,548619,"Adventure Mike Newell Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares. Daniel Radcliffe Emma Watson Rupert Grint Eric Sykes"
783,Man on Fire,Action,7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",47.0,Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,329592,"Action Tony Scott In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect. Denzel Washington Christopher Walken Dakota Fanning Radha Mitchell"
784,Coraline,Animation,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",80.0,Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders,197761,"Animation Henry Selick An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets. Dakota Fanning Teri Hatcher John Hodgman Jennifer Saunders"
785,The Last Samurai,Action,7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,55.0,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,400049,Action Edward Zwick An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle. Tom Cruise Ken Watanabe Billy Connolly William Atherton
786,The Magdalene Sisters,Drama,7.7,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,83.0,Peter Mullan,Eileen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Marie Duff,25938,Drama Peter Mullan Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum. Eileen Walsh Dorothy Duffy Nora-Jane Noone Anne-Marie Duff
787,Good Bye Lenin!,Comedy,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",68.0,Wolfgang Becker,Daniel Brühl,Katrin Saß,Chulpan Khamatova,Florian Lukas,137981,"Comedy Wolfgang Becker In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared. Daniel Brühl Katrin Saß Chulpan Khamatova Florian Lukas"
788,In America,Drama,7.7,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,76.0,Jim Sheridan,Paddy Considine,Samantha Morton,Djimon Hounsou,Sarah Bolger,40403,Drama Jim Sheridan A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child. Paddy Considine Samantha Morton Djimon Hounsou Sarah Bolger
789,I Am Sam,Drama,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,28.0,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Dianne Wiest,142863,Drama Jessie Nelson A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family. Sean Penn Michelle Pfeiffer Dakota Fanning Dianne Wiest
790,Adaptation.,Comedy,7.7,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,83.0,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Tilda Swinton,178565,Comedy Spike Jonze A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen. Nicolas Cage Meryl Streep Chris Cooper Tilda Swinton
791,Black Hawk Down,Drama,7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,74.0,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,364254,Drama Ridley Scott 160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis. Josh Hartnett Ewan McGregor Tom Sizemore Eric Bana
792,Road to Perdition,Crime,7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",72.0,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,246840,"Crime Sam Mendes A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge. Tom Hanks Tyler Hoechlin Rob Maxey Liam Aiken"
793,Das Experiment,Drama,7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",60.0,Oliver Hirschbiegel,Moritz Bleibtreu,Christian Berkel,Oliver Stokowski,Wotan Wilke Möhring,90842,"Drama Oliver Hirschbiegel For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence. Moritz Bleibtreu Christian Berkel Oliver Stokowski Wotan Wilke Möhring"
794,Billy Elliot,Drama,7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,74.0,Stephen Daldry,Jamie Bell,Julie Walters,Jean Heywood,Jamie Draven,126770,Drama Stephen Daldry A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family. Jamie Bell Julie Walters Jean Heywood Jamie Draven
795,Hedwig and the Angry Inch,Comedy,7.7,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,85.0,John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Theodore Liscinski,31957,Comedy John Cameron Mitchell A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs. John Cameron Mitchell Miriam Shor Stephen Trask Theodore Liscinski
796,Ocean's Eleven,Crime,7.7,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,74.0,Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon,516372,Crime Steven Soderbergh Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously. George Clooney Brad Pitt Julia Roberts Matt Damon
797,Vampire Hunter D: Bloodlust,Animation,7.7,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",62.0,Yoshiaki Kawajiri,Andrew Philpot,John Rafter Lee,Pamela Adlon,Wendee Lee,29210,"Animation Yoshiaki Kawajiri When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back. Andrew Philpot John Rafter Lee Pamela Adlon Wendee Lee"
798,"O Brother, Where Art Thou?",Adventure,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",69.0,Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,286742,"Adventure Joel Coen In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. Ethan Coen George Clooney John Turturro Tim Blake Nelson"
799,Interstate 60: Episodes of the Road,Adventure,7.7,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",79.0,Bob Gale,James Marsden,Gary Oldman,Kurt Russell,Matthew Edison,29999,"Adventure Bob Gale Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl. James Marsden Gary Oldman Kurt Russell Matthew Edison"
800,"South Park: Bigger, Longer & Uncut",Animation,7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",73.0,Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes,192112,"Animation Trey Parker When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame. Trey Parker Matt Stone Mary Kay Bergman Isaac Hayes"
801,Office Space,Comedy,7.7,Three company workers who hate their jobs decide to rebel against their greedy boss.,68.0,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,241575,Comedy Mike Judge Three company workers who hate their jobs decide to rebel against their greedy boss. Ron Livingston Jennifer Aniston David Herman Ajay Naidu
802,Happiness,Comedy,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",81.0,Todd Solondz,Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker,66408,"Comedy Todd Solondz The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection. Jane Adams Jon Lovitz Philip Seymour Hoffman Dylan Baker"
803,Training Day,Crime,7.7,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,69.0,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,390247,Crime Antoine Fuqua A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be. Denzel Washington Ethan Hawke Scott Glenn Tom Berenger
804,Rushmore,Comedy,7.7,The extracurricular king of Rushmore Preparatory School is put on academic probation.,86.0,Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel,169229,Comedy Wes Anderson The extracurricular king of Rushmore Preparatory School is put on academic probation. Jason Schwartzman Bill Murray Olivia Williams Seymour Cassel
805,Abre los ojos,Drama,7.7,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",79.0,Alejandro Amenábar,Eduardo Noriega,Penélope Cruz,Chete Lera,Fele Martínez,64082,"Drama Alejandro Amenábar A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured. Eduardo Noriega Penélope Cruz Chete Lera Fele Martínez"
806,Being John Malkovich,Comedy,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,90.0,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,312542,Comedy Spike Jonze A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich. John Cusack Cameron Diaz Catherine Keener John Malkovich
807,As Good as It Gets,Comedy,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",67.0,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,275755,"Comedy James L. Brooks A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery. Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr."
808,The Fifth Element,Action,7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",52.0,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,434125,"Action Luc Besson In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay. Bruce Willis Milla Jovovich Gary Oldman Ian Holm"
809,Le dîner de cons,Comedy,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",73.0,Francis Veber,Thierry Lhermitte,Jacques Villeret,Francis Huster,Daniel Prévost,37424,"Comedy Francis Veber A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise. Thierry Lhermitte Jacques Villeret Francis Huster Daniel Prévost"
810,Donnie Brasco,Biography,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",76.0,Mike Newell,Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,279318,"Biography Mike Newell An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one. Al Pacino Johnny Depp Michael Madsen Bruno Kirby"
811,Shine,Biography,7.7,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",87.0,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd,51350,"Biography Scott Hicks Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim. Geoffrey Rush Armin Mueller-Stahl Justin Braine Sonia Todd"
812,Primal Fear,Crime,7.7,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",47.0,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,189716,"Crime Gregory Hoblit An altar boy is accused of murdering a priest, and the truth is buried several layers deep. Richard Gere Laura Linney Edward Norton John Mahoney"
813,Hamlet,Drama,7.7,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",79.0,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet,35991,"Drama Kenneth Branagh Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing. Kenneth Branagh Julie Christie Derek Jacobi Kate Winslet"
814,A Little Princess,Drama,7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,83.0,Alfonso Cuarón,Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer,32236,Drama Alfonso Cuarón A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead. Liesel Matthews Eleanor Bron Liam Cunningham Rusty Schwimmer
815,Do lok tin si,Comedy,7.7,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",71.0,Kar-Wai Wong,Leon Lai,Michelle Reis,Takeshi Kaneshiro,Charlie Yeung,26429,"Comedy Kar-Wai Wong This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner. Leon Lai Michelle Reis Takeshi Kaneshiro Charlie Yeung"
816,Il postino,Biography,7.7,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",81.0,Michael Radford,Massimo Troisi,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta,33600,"Biography Michael Radford A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice. Massimo Troisi Massimo Troisi Philippe Noiret Maria Grazia Cucinotta"
817,Clerks,Comedy,7.7,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",70.0,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,211450,"Comedy Kevin Smith A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof. Brian O'Halloran Jeff Anderson Marilyn Ghigliotti Lisa Spoonauer"
818,Short Cuts,Comedy,7.7,The day-to-day lives of several suburban Los Angeles residents.,79.0,Robert Altman,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison,42275,Comedy Robert Altman The day-to-day lives of several suburban Los Angeles residents. Andie MacDowell Julianne Moore Tim Robbins Bruce Davison
819,Philadelphia,Drama,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",66.0,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,224169,"Drama Jonathan Demme When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit. Tom Hanks Denzel Washington Roberta Maxwell Buzz Kilman"
820,The Muppet Christmas Carol,Comedy,7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,64.0,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,50298,Comedy Brian Henson The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve. Michael Caine Kermit the Frog Dave Goelz Miss Piggy
821,Malcolm X,Biography,7.7,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",73.0,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,85819,"Biography Spike Lee Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam. Denzel Washington Angela Bassett Delroy Lindo Spike Lee"
822,The Last of the Mohicans,Action,7.7,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,76.0,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,150409,Action Michael Mann Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War. Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig
823,Kurenai no buta,Animation,7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",83.0,Hayao Miyazaki,Shûichirô Moriyama,Tokiko Katô,Bunshi Katsura Vi,Tsunehiko Kamijô,77798,"Animation Hayao Miyazaki In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig. Shûichirô Moriyama Tokiko Katô Bunshi Katsura Vi Tsunehiko Kamijô"
824,Glengarry Glen Ross,Crime,7.7,An examination of the machinations behind the scenes at a real estate office.,82.0,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,95826,Crime James Foley An examination of the machinations behind the scenes at a real estate office. Al Pacino Jack Lemmon Alec Baldwin Alan Arkin
