id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
592,Vicky Donor,Comedy,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",79.0,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,"Comedy Shoojit Sircar A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic. Ayushmann Khurrana Yami Gautam Annu Kapoor Dolly Ahluwalia"
593,Big Hero 6,Animation,7.8,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",74.0,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,"Animation Don Hall A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes. Chris Williams Ryan Potter Scott Adsit Jamie Chung"
594,About Time,Comedy,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",55.0,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,"Comedy Richard Curtis At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think. Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson"
595,English Vinglish,Comedy,7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",79.0,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,"Comedy Gauri Shinde A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English. Sridevi Adil Hussain Mehdi Nebbou Priya Anand"
596,Kaze tachinu,Animation,7.8,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",83.0,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,"Animation Hayao Miyazaki A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II. Hideaki Anno Hidetoshi Nishijima Miori Takimoto Masahiko Nishimura"
597,Toy Story 4,Animation,7.8,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",84.0,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,"Animation Josh Cooley When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy. Tom Hanks Tim Allen Annie Potts Tony Hale"
598,La migliore offerta,Crime,7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,49.0,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,Crime Giuseppe Tornatore A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining. Geoffrey Rush Jim Sturgess Sylvia Hoeks Donald Sutherland
599,Moonrise Kingdom,Comedy,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",84.0,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"Comedy Wes Anderson A pair of young lovers flee their New England town, which causes a local search party to fan out to find them. Jared Gilman Kara Hayward Bruce Willis Bill Murray"
600,How to Train Your Dragon 2,Animation,7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",76.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,"Animation Dean DeBlois When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Jay Baruchel Cate Blanchett Gerard Butler Craig Ferguson"
601,The Big Short,Biography,7.8,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,81.0,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,Biography Adam McKay In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is. Christian Bale Steve Carell Ryan Gosling Brad Pitt
602,Kokuhaku,Drama,7.8,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,79.0,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,35713,Drama Tetsuya Nakashima A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death. Takako Matsu Yoshino Kimura Masaki Okada Yukito Nishii
603,Ang-ma-reul bo-at-da,Action,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,67.0,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun,111252,Action Jee-woon Kim A secret agent exacts revenge on a serial killer through a series of captures and releases. Lee Byung-Hun Choi Min-sik Jeon Gook-Hwan Ho-jin Chun
604,The Girl with the Dragon Tattoo,Crime,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",71.0,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010,"Crime David Fincher Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker. Daniel Craig Rooney Mara Christopher Plummer Stellan Skarsgård"
605,Captain Phillips,Adventure,7.8,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",82.0,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,"Adventure Paul Greengrass The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years. Tom Hanks Barkhad Abdi Barkhad Abdirahman Catherine Keener"
606,Ajeossi,Action,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,79.0,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,Action Jeong-beom Lee A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend. Won Bin Sae-ron Kim Tae-hoon Kim Hee-won Kim
607,Straight Outta Compton,Biography,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",72.0,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,"Biography F. Gary Gray The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood. O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr."
